"X" "Sepal.Length" "Sepal.Width" "Petal.Length" "Petal.Width" "Species"
"1" 1 5000 3.5 1.4 0.2 "setosa"
"2" 2 4.9 3 1.4 0.2 "setosa"
"3" 3 4.7 3.2 1.3 0.2 "setosa"
"4" 4 4.6 3.1 1.5 0.2 "setosa"
"5" 5 5 3.6 1.4 0.2 "setosa"
"6" 6 5.4 3.9 1.7 0.4 "setosa"
"7" 7 4.6 3.4 1.4 0.3 "setosa"
"8" 8 5 3.4 1.5 0.2 "setosa"
"9" 9 4.4 2.9 1.4 0.2 "setosa"
"10" 10 4.9 3.1 1.5 0.1 "setosa"
"11" 11 5.4 3.7 1.5 0.2 "setosa"
"12" 12 4.8 3.4 1.6 0.2 "setosa"
"13" 13 4.8 3 1.4 0.1 "setosa"
"14" 14 4.3 3 1.1 0.1 "setosa"
"15" 15 5.8 4 1.2 0.2 "setosa"
"16" 16 5.7 4.4 1.5 0.4 "setosa"
"17" 17 5.4 3.9 1.3 0.4 "setosa"
"18" 18 5.1 3.5 1.4 0.3 "setosa"
"19" 19 5.7 3.8 1.7 0.3 "setosa"
"20" 20 5.1 3.8 1.5 0.3 "setosa"
"21" 21 5.4 3.4 1.7 0.2 "setosa"
"22" 22 5.1 3.7 1.5 0.4 "setosa"
"23" 23 4.6 3.6 1 0.2 "setosa"
"24" 24 5.1 3.3 1.7 0.5 "setosa"
"25" 25 4.8 3.4 1.9 0.2 "setosa"
"26" 26 5 3 1.6 0.2 "setosa"
"27" 27 5 3.4 1.6 0.4 "setosa"
"28" 28 5.2 3.5 1.5 0.2 "setosa"
"29" 29 5.2 3.4 1.4 0.2 "setosa"
"30" 30 4.7 3.2 1.6 0.2 "setosa"
"31" 31 4.8 3.1 1.6 0.2 "setosa"
"32" 32 5.4 3.4 1.5 0.4 "setosa"
"33" 33 5.2 4.1 1.5 0.1 "setosa"
"34" 34 5.5 4.2 1.4 0.2 "setosa"
"35" 35 4.9 3.1 1.5 0.2 "setosa"
"36" 36 5 3.2 1.2 0.2 "setosa"
"37" 37 5.5 3.5 1.3 0.2 "setosa"
"38" 38 4.9 3.6 1.4 0.1 "setosa"
"39" 39 4.4 3 1.3 0.2 "setosa"
"40" 40 5.1 3.4 1.5 0.2 "setosa"
"41" 41 5 3.5 1.3 0.3 "setosa"
"42" 42 4.5 2.3 1.3 0.3 "setosa"
"43" 43 4.4 3.2 1.3 0.2 "setosa"
"44" 44 5 3.5 1.6 0.6 "setosa"
"45" 45 5.1 3.8 1.9 0.4 "setosa"
"46" 46 4.8 3 1.4 0.3 "setosa"
"47" 47 5.1 3.8 1.6 0.2 "setosa"
"48" 48 4.6 3.2 1.4 0.2 "setosa"
"49" 49 5.3 3.7 1.5 0.2 "setosa"
"50" 50 5 3.3 1.4 0.2 "setosa"
"51" 51 7 3.2 4.7 1.4 "versicolor"
"52" 52 6.4 3.2 4.5 1.5 "versicolor"
"53" 53 6.9 3.1 4.9 1.5 "versicolor"
"54" 54 5.5 2.3 4 1.3 "versicolor"
"55" 55 6.5 2.8 4.6 1.5 "versicolor"
"56" 56 5.7 2.8 4.5 1.3 "versicolor"
"57" 57 6.3 3.3 4.7 1.6 "versicolor"
"58" 58 4.9 2.4 3.3 1 "versicolor"
"59" 59 6.6 2.9 4.6 1.3 "versicolor"
"60" 60 5.2 2.7 3.9 1.4 "versicolor"
"61" 61 5 2 3.5 1 "versicolor"
"62" 62 5.9 3 4.2 1.5 "versicolor"
"63" 63 6 2.2 4 1 "versicolor"
"64" 64 6.1 2.9 4.7 1.4 "versicolor"
"65" 65 5.6 2.9 3.6 1.3 "versicolor"
"66" 66 6.7 3.1 4.4 1.4 "versicolor"
"67" 67 5.6 3 4.5 1.5 "versicolor"
"68" 68 5.8 2.7 4.1 1 "versicolor"
